sku,name,category,function,relatives,designer,image,gridorder,neworder
BBL5016,Simple Scallop Hanging Shade,Ceiling > Hanging Shade,Hanging Shade,Simple Scallop,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl5016sss_5.png,2254.0000,,
BBL5023,Westport Hanging Shade,Ceiling > Hanging Shade,Hanging Shade,Westport,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl5023bzs_5.png,2232.0000,,
BBL5024,Reflection Semi-Flush Hanging Shade,Ceiling > Hanging Shade,Hanging Shade,Reflection,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl5024sss_5.png,2248.0000,,
BBL5025,Reflection Large Hanging Shade,Ceiling > Hanging Shade,Hanging Shade,Reflection,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl5025sss_5.png,2251.0000,,
CHA8150,Pimlico Table Lamp,Table > Task,Functional,Pimlico,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8150abab_5.png,974.0000,,
CHA8162,Classical Urn Form Large Table Lamp,Table > Decorative,Decorative,Classical Urn Table,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8162abnp_5.png,661.0000,,
CHA8172,Classical Urn Form Medium Table Lamp,Table > Decorative,Decorative,Classical Urn Table,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8172abnp_9.png,667.0000,,
CHA8173,Chunky Urn Medium Table Lamp,Table > Decorative,Decorative,Chunky,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8173abnp_5.png,668.0000,,
CHA8174,Chunky Urn Large Table Lamp,Table > Decorative,Decorative,Chunky,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8174albnp_5.png,669.0000,,
CHA8188,Dorchester Club Table Lamp,Table > Decorative,Decorative,Dorchester,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8188abs_9.png,803.0000,,
CHA8192,Engraver's Desk Lamp,Table > Task,Functional,Engravers Desk,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8192abb_5.png,962.0000,,
CHA8461,Swedish Column Buffet Lamp,Table > Decorative,Decorative,Swedish Column,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8461abnp_5.png,800.0000,,
CHA8539,Convector Rectangular Table Lamp,Table > Decorative,Decorative,Convector,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8539aznp_5.png,706.0000,,
CHA8613,Gourd Form Small Table Lamp,Table > Decorative,Decorative,Gourd Form,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8613tsnp_5.png,330.0000,,
CHA8615,Gourd Form Large Table Lamp,Table > Decorative,Decorative,Gourd Form,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8615tsnp_6.png,332.0000,,
CHA8617,Narrow Neck Vase Large Table Lamp,Table > Decorative,Decorative,Narrow Neck,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8617tsnp_5.png,334.0000,,
CHA8627,Fang Gourd Table Lamp,Table > Decorative,Decorative,Fang Gourd,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8627icnp_5.png,670.0000,,
CHA8707,Strie Fluted Column Table Lamp,Table > Decorative,Decorative,Strie,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8707ginp_9.png,596.0000,,
CHA8906,Fluted Spire Large Table Lamp,Table > Decorative,Decorative,Fluted Spire,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8906ginp_5.png,605.0000,,
CHA8917,Modern Balustrade Table Lamp,Table > Decorative,Decorative,Balustrade,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8917cgnp_5.png,79.0000,,
CHA8924,Balustrade Table Lamp,Table > Decorative,Decorative,Balustrade,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8924cgnp_5.png,479.0000,,
CHA8926,Slender Column Table Lamp,Table > Decorative,Decorative,Crystal Column,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8926cgnp_5.png,69.0000,,
CHA8931,Chubby Column Table Lamp,Table > Decorative,Decorative,Chunky,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8931albnp_5.png,480.0000,,
CHA8945,Round Chunky Stacked Table Lamp,Table > Decorative,Decorative,Chunky,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8945albnp_5.png,467.0000,,
CHA8947,Square Chunky Stacked Table Lamp,Table > Decorative,Decorative,Chunky,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8947albnp_5.png,466.0000,,
CHA8950,Octagonal Spire Medium Table Lamp,Table > Decorative,Decorative,Fluted Spire,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8950cgnp_5.png,3.0000,,
CHA8951,Octagonal Spire Large Table Lamp,Table > Decorative,Decorative,Fluted Spire,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8951cgnp_5.png,4.0000,,
CHA8960,Rectangular Stacked Table Lamp,Table > Decorative,Decorative,STACKED,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8960albnp_5.png,470.0000,,
CHA8969,Ring Form Small Table Lamp,Table > Decorative,Decorative,Ring,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8969abnp_5.png,675.0000,,
CHA8970,Ring Form Large Table Lamp,Table > Decorative,Decorative,Ring,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8970albnp_9.png,679.0000,,
CHA8983,Crystal Panel Table Lamp,Table > Decorative,Decorative,Crystal Panel,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha8983abnp_5.png,48.0000,,
CHA9107,Dorchester Swing Arm Pharmacy Floor Lamp,Floor > Task,Functional,Dorchester,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha9107ab_5.png,1243.0000,,
CHA9121,Dorchester Swing Arm Floor Lamp,Floor > Task,Functional,Dorchester,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha9121abs_9.png,1176.0000,,
CHA9125,Overseas Adjustable Club Tray Floor Lamp,Floor > Decorative,Decorative,Overseas,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha9125abs_8.png,1113.0000,,
CHA9150,Pimlico Adjustable Floor Lamp,Floor > Decorative,,Pimlico,E. F. Chapman,,1218.0000,,
CHA9161,Apothecary Floor Lamp,Floor > Task,Functional,Apothecary,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha9161ab_5.png,1236.0000,,
CHA9707,Strie Floor Lamp,Floor > Decorative,Decorative,Strie,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/cha9707ginp_5.png,980.0000,,
CHC1131,Georgian Small Chandelier,Ceiling > Chandelier,,Georgian Chandelier,E. F. Chapman,,1853.0000,,
CHC1154,George II Large Chandelier,Ceiling > Chandelier,Chandelier,George,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc1154cgpn_6.png,1365.0000,,
CHC1155,George II Small Chandelier,Ceiling > Chandelier,Chandelier,George,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc1155cgpn_6.png,1367.0000,,
CHC1407,Petite Paris Flea Market Chandelier,Ceiling > Chandelier,Chandelier,Paris Flea Market,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc1407absg_5.png,1449.0000,,
CHC1408,Paris Flea Market Large Chandelier,Ceiling > Chandelier,Chandelier,Paris Flea Market,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc1408absg_5.png,1457.0000,,
CHC1415,Marigot Medium Chandelier,Ceiling > Chandelier,Chandelier,Marigot,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc1415absg_8.png,1716.0000,,
CHC1420,Piedmont Chandelier,Ceiling > Chandelier,Chandelier,Piedmont,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc1420gisg_5.png,1429.0000,,
CHC1426,Paris Flea Market Medium Chandelier,Ceiling > Chandelier,Chandelier,Paris Flea Market,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc1426gisg_9.png,1453.0000,,
CHC1432,Windsor Large Iron Two-Tier Chandelier,Ceiling > Chandelier,,Windsor Iron,E. F. Chapman,,1571.0000,,
CHC1441,Linear Flat Line Chandelier,Ceiling > Linear,,Flat Line,E. F. Chapman,,2736.0000,,
CHC1447,Leaf and Arrow Large Chandelier,Ceiling > Chandelier,Chandelier,Leaf and Arrow,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc1447bzab_5.png,1694.0000,,
CHC1462,Dorset Large Torch Chandelier,Ceiling > Chandelier,Chandelier,DORSET,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc1462wi_5.png,1789.0000,,
CHC1463,Dorset Large Two-Tier Chandelier,Ceiling > Chandelier,Chandelier,DORSET,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc1463br_5.png,1790.0000,,
CHC1480,Grosvenor Single Hanging Shade,Ceiling > Hanging Shade,Hanging Shade,Grosvenor Pendant,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc1480pnl_5.png,2303.0000,,
CHC1481,Grosvenor Linear Double Pendant,Ceiling > Linear,Linear,Grosvenor Pendant,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc1481abl_5.png,2968.0000,,
CHC1482,Grosvenor Linear Triple Pendant,Ceiling > Linear,Linear,Grosvenor Pendant,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc1482pnl_9.png,2972.0000,,
CHC1494,Flemish Medium Round Chandelier,Ceiling > Chandelier,Chandelier,Flemish,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc1494ai_5.png,1725.0000,,
CHC1497,Flemish Small Linear Chandelier,Ceiling > Linear,Linear,Flemish,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc1497ginp_12.png,2985.0000,,
CHC1498,Flemish Large Linear Chandelier,Ceiling > Linear,Linear,Flemish,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc1498ainp_5.png,2987.0000,,
CHC1508,Paris Flea Market Grande Chandelier,Ceiling > Chandelier,Chandelier,Paris Flea Market,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc1508absg_5.png,1460.0000,,
